screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
Lucky64572567,Lucky,"ช่างกล้าจริงๆ ตัวหนังสือสีน้ำเงิน
พื้นสีเหลือง เตรียมโหน ถ้าอยากเกิด
ต้องไม่มีพรรค พปชร.ไม่งั้นพรรค
ฝ่ายขวาจะไม่มีพื้นที่ ปชป.ยังดับเลย
#รัฐบาลเตรียมพร้อม #อนาคตใหม่
#ช่างกล้าpic.twitter.com/ETKOPeTTK6",2020-02-14 03:06:22,475,1395,77900,-1,48,1129680824847048704,2019-05-18 02:31:00,284 days 21:29:00.000000000,284
Apw_2537,Ton_Taewwwww 🌿,เมื่อปชช.ออกจากบ้านในรบ.นี้ #รัฐบาลเตรียมพร้อม pic.twitter.com/v0GpZMeguq,2020-02-14 03:06:16,65,13,1904,-1,2,981423858736619520,2018-04-03 23:50:00,694 days 00:10:00.000000000,694
Omei3,Omei,ด่วนๆๆๆ เกิดเหตุกราดยิงอีกแล้ว จุฬาซอย 10 สามย่าน กทม    #กราดยิงจุฬาซอย10สามย่าน #รัฐบาลเตรียมพร้อม pic.twitter.com/yDuaQyOGOY,2020-02-14 03:06:14,95,50,661,Bangkok Thailand,0,475973878,2012-01-27 08:49:00,2952 days 15:11:00.000000000,2952
may_cha_la_la,charatta,นอกจาก #รัฐบาลเตรียมพร้อม ปชช. ก็เตรียมพร้อมเช่นกัน ว่าวันนี้พรุ่งนี้จะเกิดอะไรขึ้นกับชีวิตตัวเองมั้ย เหมือนชีวิตแขวนไว้บนเส้นด้ายตลอด ไม่เคยอุ่นใจอะไรได้เลยกับนโยบายของรัฐ,2020-02-14 03:06:13,88,29,962,-1,0,389344420,2011-10-12 01:04:00,3059 days 22:56:00.000000000,3059
BYrBD3HEW3PLnju,บุญผลา,"พวกมึงรู้หรือยังการมีบ้านพักในค่าย มันดียังไง

#รัฐบาลเตรียมพร้อม #ยิงกราดโคราช #ยิงกลางกรุงpic.twitter.com/MZCNQkpTe6",2020-02-14 03:05:57,75,4,10,-1,2,1227083151802941440,2020-02-11 04:13:28,15 days 19:46:32.000000000,15
taiguoshushu,เทอคับ,"เคยแซวยิ่งลักษณ์เรื่องภาษาอังกฤษ
จนมาได้ลุงตู่ แม่งเหี้ยยยยกว่าเดิมอีก 
อะไรของเมิงเนี้ยยยยยยยยย
#รัฐบาลเตรียมพร้อม https://twitter.com/NoLungNoKaLa/status/1228061991970885632 …",2020-02-14 03:05:56,595,15,710,ประเทศไทย,2,266079733,2011-03-14 09:27:00,3271 days 14:33:00.000000000,3271
KHUNNONG28,จ๊oกแจ๊k ฌรอป อ่ะแฮ่ม 🌔 🎼,ยุคโจรครองเมือวไปซะแล้ววว​ #รัฐบาลเตรียมพร้อม #กราดยิงกลางเมือง,2020-02-14 03:05:52,184,125,114604,"กรุงเทพมหานคร, ประเทศไทย",1,844375191362813952,2017-03-21 19:28:00,1072 days 04:32:00.000000000,1072
SiioSoiios,Ｓｏｍｓｒｉ,#รัฐบาลเตรียมพร้อม พร้อมให้กูด่าใช่มั้ย โอเค,2020-02-14 03:05:49,622,47,28162,ถ้าเราเป็นลมเพราะเธอน่ารัก,1,987937441205006336,2018-04-21 23:13:00,676 days 00:47:00.000000000,676
DaraXOXO_88,XZ 🐇,ทรามมาก #ต่ำตมไม่หยุด #รัฐบาลเตรียมพร้อม https://twitter.com/NoLungNoKaLa/status/1228061991970885632 …,2020-02-14 03:05:36,1023,202,22994,BANGKOK,0,2543466967,2014-06-03 05:56:00,2094 days 18:04:00.000000000,2094
rainyseasonja,フォントック( ^ω^ ),จ่ะ พร้อมมากจ่ะ  #รัฐบาลเตรียมพร้อม pic.twitter.com/eDV0EJqtnv,2020-02-14 03:05:32,516,217,38073,Thailand,2,235943215,2011-01-09 04:48:00,3335 days 19:12:00.000000000,3335
Sunny54461558,Sunny 💞 💞 💞,"สุดกลั้นน้ำตา หนุมานกองปราบ พูดกับ พี่น้องโคราชที่วิ่งหนีตาย
#เป๊กผลิตโชค
#ป๋อตี้จ้านเกอ
#ป๋อจ้าน
#ป๋อปอสี่
#แคปชั่นอ่อย
#แบมแบม
#ทูวิชหวานน้ําตาลจืดไปเลยอ่ะ
#รัฐบาลเตรียมพร้อม
#คังแดเนียลhttp://www.socialhot24.com/news103274.html?d=14022020&f=85812 …",2020-02-14 03:05:19,28,15,18,-1,2,1174588261211099136,2019-09-19 00:37:00,160 days 23:23:00.000000000,160
iwantpenmernct,ฉันจะกินหมูกรอบ,"ไม่ว่าจะอาชีพไหนๆก็ทำคุณให้ประเทศทั้งนั้นนั่นแหละ ไม่ใช่แค่อาชีพราชการทหารที่บอกว่าตัวเองเป็นรั้วของชาติ แหม๋
#รัฐบาลเตรียมพร้อม pic.twitter.com/Mc8WWIuExG",2020-02-14 03:05:01,30,98,7805,-1,1,1081465947381161984,2019-01-05 00:22:00,417 days 23:38:00.000000000,417
Misstrange2033,ชีวิตมันไม่ง่าย,อยากได้ยินคำว่ารัฐบาลเตรียมพร้อมนะ...เตรียมพร้อมลาออก #รัฐบาลเตรียมพร้อม,2020-02-14 03:05:00,58,3,1008,-1,1,1105739579439497216,2019-03-13 00:57:00,350 days 23:03:00.000000000,350
DaraXOXO_88,XZ 🐇,กินจนรวยใช้เท่าไหร่ก็ไม่หมดอยู่แล้ว ยังจะโลภมากเบียดเบียนภาษีคนไม่มีจะกินอีก นี่คือความเลื่อมล้ำที่แท้จริงในสังคมอันเน่าเฟะนี้ #รัฐบาลเตรียมพร้อม https://twitter.com/sleeplessbkk/status/1228138759155146752 …,2020-02-14 03:04:56,1023,202,22994,BANGKOK,1,2543466967,2014-06-03 05:56:00,2094 days 18:04:00.000000000,2094
Fm6Ufrzr0ZSWePa,happykhem,"กากชิบหาย
#รัฐบาลเตรียมพร้อม",2020-02-14 03:04:53,3,1,72,-1,6,1177424168926601216,2019-09-26 20:26:00,153 days 03:34:00.000000000,153
review_meow,Meow meow Review,"อย่าให้เกิดอะไรขึ้นอีกเลย
#เหมียวกลัว
#รัฐบาลเตรียมพร้อม https://twitter.com/Ch7HDNews/status/1228145378291138560 …",2020-02-14 03:04:48,9,0,3,-1,1,1227559757789007872,2020-02-12 11:47:27,14 days 12:12:33.000000000,14
egaosamenon,ً,"#รัฐบาลเตรียมพร้อม เตรียมพร้อมนี่ที่บอกว่าเตรียมมามากกว่า 5 แล้วปะ ""อ๋อ"" นั่นมันโกหก",2020-02-14 03:04:45,248,53,19657,"กรุงเทพมหานคร, ประเทศไทย",0,759739325856698368,2016-07-31 06:15:00,1305 days 17:45:00.000000000,1305
Omei3,Omei,ด่วนๆๆๆ เกิดเหตุกราดยิงอีกแล้ว จุฬาซอย 10 สามย่าน กทม    #กราดยิงจุฬาซอย10สามย่าน #รัฐบาลเตรียมพร้อม pic.twitter.com/tkc2SrcPHo,2020-02-14 03:04:34,95,50,661,Bangkok Thailand,1,475973878,2012-01-27 08:49:00,2952 days 15:11:00.000000000,2952
Woraw26,ผัดเผ็ดกบ,#รัฐบาลเตรียมพร้อม ที่ความสงบจะไม่จบที่ไอ้ตู่อีกต่อไป เสียงปืนดังรายวัน ยาบ้าเกลื่อนเมือง เศรษฐกิจแย่ลง ข้าวของแพงขึ้น แต่การกระทำและจิตใจ รวมถึงความรับผิดชอบของประยุทธ์กลับต่ำลงทุกๆวัน,2020-02-14 03:04:33,300,1,1873,-1,1,1169604211337596928,2019-09-05 06:32:00,174 days 17:28:00.000000000,174
D7BDy1LB2VS2Kef,0889497847,"ไปกันใหญ่แล้ว!เพื่อไทยยกฆ่าเด็กหญิงวัย13ทิ้งรถไฟเปรียบกราดยิงโคราช จี้'บิ๊กตู่'ปลด'บิ๊กแดง'พ้นผบ.ทบ.
#รัฐบาลเตรียมพร้อม
http://www.topicza.com/news103255.html?d=14022020&f=86719 …",2020-02-14 03:04:20,6,0,71,-1,1,1216713336340934656,2020-01-13 13:27:29,44 days 10:32:31.000000000,44
pxxishappy,이햎삐  🕊,กลาโหมที่บอกว่าติดเกมแล้วลอกเลียนแบบน่ะ หนูติดเกมปลูกผักยังไม่เห็นจะอยากไปปลูกผักในชีวิตจริงเลยค่ะ #รัฐบาลเตรียมพร้อม,2020-02-14 03:04:14,496,195,67364,วังเค้กแดงวังไอศวรรย์วังอิษจรี,1,2899998932,2014-11-14 21:30:00,1930 days 02:30:00.000000000,1930
